label,tweet,index
1,lmfao cat started beating shit nigga finally got pussy?!? nigga!,0
1,lol eatin da shit outta sum pussy. ill never serial pussy eater tho.,1
1,bitch how? ok? ;,2
2,floppy bird chalmers taking hero lebron,3
1,boolin' bando wit bitches,4
1,mom acts like bitch doe like ok ur losing ur memory cunt ur daughter,5
1,miss bitch,6
1,white hoes bro lol,7
1,yea listen hoe wake,8
1,lmfaooo oh well fuck bitch,9
1,"tweeted man telling go kitchen season could tell mom that, father probably left.bitch",10
1,national doughnut day bitch get,11
1,side bitch main bitch cuz main bitch aint feelin nomo.nomo,12
1,hoe,13
1,snacks bitch,14
1,need change first. im retarded fuck,15
0,al noooo . late fuckin faggot ! lmao,16
1,tia chepa. uhh noo bitch tia irma aghh he's annoying,17
1,niggas bitches hoes bitches ion see difference,18
2,news ant emit ism group condemns vp joe biden offensive reference shylocks ;,19
1,kind sorcery this. nope eat pussy im cycle call cherry pie,20
1,bitches need tan,21
1,"sam bitch, ronnie got fight",22
2,listen bands a7x ptv sws atl bvb adtr bmth ymas fob aa blink 182 tdg ss fir mcr follow everyon,23
1,mexican bitch wanna speak fuckin language give attitude. can't speak right ass! tf,24
2,"despite zebra red rocket special, portland beats jersey shore floppers.",25
1,omggggg.! nigga said jerry . black bitch.,26
1,nigga tannehill trash lmao dolphins trash,27
1,faggot bitch,28
1,bitch keep looking choosing nah,29
2,want deal yesterday's trash! there's reason got thrown first place,30
1,love airing everyone loved kill la kill like fucking trash everyone loved hates,31
1,ok faggot,32
1,shit gettin money fuckin hoes uk dat go lmaooooo,33
1,u may think im bitch soon get know u realize first impressions right bitch,34
2,video made -- porn actress sexy capri anderson kissing video charlie sheen via,35
1,still spring bitch,36
1,bitches mann,37
1,nigga aux cord playin trash shit.,38
1,tweeting last night pussy/ass dick breath morning?,39
1,son bitch thunder,40
1,can't save hoes,41
1,easy congo! fuckin faggot though eat lunch road frequently,42
1,bitch wasnt,43
2,dress tomorrow mock interviews still know tie tie,44
1,photo mains yessssss lady kim ora turntup. bitches,45
1,walk bitch like murdered test!,46
1,bitch death grip niggas balls. smh,47
1,shiddd add turn bitch lmao,48
2,"realized one link's awakening too, killed two birds one stone. unless getting wind fish too.",49
1,bitch b hypocrite,50
1,"note 300 30 days month, hoes selling pussy $10 pop lol.",51
1,bitch better play w/ c k,52
1,"hate bitches tryna put friendzone.bitch i'm tryna score, put end-zone",53
